1938056729
Resize
1683209337386 class dk.sdu.group.one.rock.Rock, x: 176.0, y: 192.0, coordinate hash:1852584274 has collided with class dk.sdu.group.one.player.Player, x: 191.0, y: 200.0, coordinate hash:1938056729
1683209337580 class dk.sdu.group.one.player.Player, x: 161.0, y: 189.0, coordinate hash:1938056729 has collided with class dk.sdu.group.one.rock.Rock, x: 176.0, y: 192.0, coordinate hash:1852584274
1683209337772 class dk.sdu.group.one.rock.Rock, x: 144.0, y: 128.0, coordinate hash:2012846597 has collided with class dk.sdu.group.one.player.Player, x: 152.0, y: 143.0, coordinate hash:1938056729
1683209337774 class dk.sdu.group.one.player.Player, x: 152.0, y: 143.0, coordinate hash:1938056729 has collided with class dk.sdu.group.one.rock.Rock, x: 144.0, y: 128.0, coordinate hash:2012846597
1683209337775 class dk.sdu.group.one.rock.Rock, x: 144.0, y: 128.0, coordinate hash:2012846597 has collided with class dk.sdu.group.one.player.Player, x: 152.0, y: 141.0, coordinate hash:1938056729
1683209337777 class dk.sdu.group.one.player.Player, x: 152.0, y: 141.0, coordinate hash:1938056729 has collided with class dk.sdu.group.one.rock.Rock, x: 144.0, y: 128.0, coordinate hash:2012846597
1683209337789 class dk.sdu.group.one.rock.Rock, x: 144.0, y: 128.0, coordinate hash:2012846597 has collided with class dk.sdu.group.one.player.Player, x: 152.0, y: 139.0, coordinate hash:1938056729
1683209337789 class dk.sdu.group.one.player.Player, x: 152.0, y: 139.0, coordinate hash:1938056729 has collided with class dk.sdu.group.one.rock.Rock, x: 144.0, y: 128.0, coordinate hash:2012846597
1683209337799 class dk.sdu.group.one.rock.Rock, x: 144.0, y: 128.0, coordinate hash:2012846597 has collided with class dk.sdu.group.one.player.Player, x: 152.0, y: 137.0, coordinate hash:1938056729
1683209337799 class dk.sdu.group.one.player.Player, x: 152.0, y: 137.0, coordinate hash:1938056729 has collided with class dk.sdu.group.one.rock.Rock, x: 144.0, y: 128.0, coordinate hash:2012846597
1683209337803 class dk.sdu.group.one.rock.Rock, x: 144.0, y: 128.0, coordinate hash:2012846597 has collided with class dk.sdu.group.one.player.Player, x: 152.0, y: 135.0, coordinate hash:1938056729
1683209337803 class dk.sdu.group.one.player.Player, x: 152.0, y: 135.0, coordinate hash:1938056729 has collided with class dk.sdu.group.one.rock.Rock, x: 144.0, y: 128.0, coordinate hash:2012846597
1683209337814 class dk.sdu.group.one.rock.Rock, x: 144.0, y: 128.0, coordinate hash:2012846597 has collided with class dk.sdu.group.one.player.Player, x: 152.0, y: 133.0, coordinate hash:1938056729
1683209337815 class dk.sdu.group.one.player.Player, x: 152.0, y: 133.0, coordinate hash:1938056729 has collided with class dk.sdu.group.one.rock.Rock, x: 144.0, y: 128.0, coordinate hash:2012846597
1683209337822 class dk.sdu.group.one.rock.Rock, x: 144.0, y: 128.0, coordinate hash:2012846597 has collided with class dk.sdu.group.one.player.Player, x: 152.0, y: 131.0, coordinate hash:1938056729
1683209337823 class dk.sdu.group.one.player.Player, x: 152.0, y: 131.0, coordinate hash:1938056729 has collided with class dk.sdu.group.one.rock.Rock, x: 144.0, y: 128.0, coordinate hash:2012846597
1683209337825 class dk.sdu.group.one.rock.Rock, x: 144.0, y: 128.0, coordinate hash:2012846597 has collided with class dk.sdu.group.one.player.Player, x: 152.0, y: 129.0, coordinate hash:1938056729
1683209337825 class dk.sdu.group.one.player.Player, x: 152.0, y: 129.0, coordinate hash:1938056729 has collided with class dk.sdu.group.one.rock.Rock, x: 144.0, y: 128.0, coordinate hash:2012846597
1683209337839 class dk.sdu.group.one.rock.Rock, x: 144.0, y: 112.0, coordinate hash:1665404403 has collided with class dk.sdu.group.one.player.Player, x: 152.0, y: 127.0, coordinate hash:1938056729
1683209337839 class dk.sdu.group.one.rock.Rock, x: 144.0, y: 128.0, coordinate hash:2012846597 has collided with class dk.sdu.group.one.player.Player, x: 152.0, y: 127.0, coordinate hash:1938056729
1683209337840 class dk.sdu.group.one.player.Player, x: 152.0, y: 127.0, coordinate hash:1938056729 has collided with class dk.sdu.group.one.rock.Rock, x: 144.0, y: 112.0, coordinate hash:1665404403
1683209337840 class dk.sdu.group.one.player.Player, x: 152.0, y: 127.0, coordinate hash:1938056729 has collided with class dk.sdu.group.one.rock.Rock, x: 144.0, y: 128.0, coordinate hash:2012846597
1683209337847 class dk.sdu.group.one.rock.Rock, x: 144.0, y: 112.0, coordinate hash:1665404403 has collided with class dk.sdu.group.one.player.Player, x: 152.0, y: 125.0, coordinate hash:1938056729
1683209337847 class dk.sdu.group.one.rock.Rock, x: 144.0, y: 128.0, coordinate hash:2012846597 has collided with class dk.sdu.group.one.player.Player, x: 152.0, y: 125.0, coordinate hash:1938056729
1683209337848 class dk.sdu.group.one.player.Player, x: 152.0, y: 125.0, coordinate hash:1938056729 has collided with class dk.sdu.group.one.rock.Rock, x: 144.0, y: 112.0, coordinate hash:1665404403
1683209337848 class dk.sdu.group.one.player.Player, x: 152.0, y: 125.0, coordinate hash:1938056729 has collided with class dk.sdu.group.one.rock.Rock, x: 144.0, y: 128.0, coordinate hash:2012846597
1683209337850 class dk.sdu.group.one.rock.Rock, x: 144.0, y: 112.0, coordinate hash:1665404403 has collided with class dk.sdu.group.one.player.Player, x: 152.0, y: 123.0, coordinate hash:1938056729
1683209337850 class dk.sdu.group.one.rock.Rock, x: 144.0, y: 128.0, coordinate hash:2012846597 has collided with class dk.sdu.group.one.player.Player, x: 152.0, y: 123.0, coordinate hash:1938056729
1683209337851 class dk.sdu.group.one.player.Player, x: 152.0, y: 123.0, coordinate hash:1938056729 has collided with class dk.sdu.group.one.rock.Rock, x: 144.0, y: 112.0, coordinate hash:1665404403
1683209337851 class dk.sdu.group.one.player.Player, x: 152.0, y: 123.0, coordinate hash:1938056729 has collided with class dk.sdu.group.one.rock.Rock, x: 144.0, y: 128.0, coordinate hash:2012846597
1683209337864 class dk.sdu.group.one.rock.Rock, x: 144.0, y: 112.0, coordinate hash:1665404403 has collided with class dk.sdu.group.one.player.Player, x: 152.0, y: 121.0, coordinate hash:1938056729
1683209337864 class dk.sdu.group.one.rock.Rock, x: 144.0, y: 128.0, coordinate hash:2012846597 has collided with class dk.sdu.group.one.player.Player, x: 152.0, y: 121.0, coordinate hash:1938056729
1683209337865 class dk.sdu.group.one.player.Player, x: 152.0, y: 121.0, coordinate hash:1938056729 has collided with class dk.sdu.group.one.rock.Rock, x: 144.0, y: 112.0, coordinate hash:1665404403
1683209337865 class dk.sdu.group.one.player.Player, x: 152.0, y: 121.0, coordinate hash:1938056729 has collided with class dk.sdu.group.one.rock.Rock, x: 144.0, y: 128.0, coordinate hash:2012846597
1683209337875 class dk.sdu.group.one.rock.Rock, x: 144.0, y: 112.0, coordinate hash:1665404403 has collided with class dk.sdu.group.one.player.Player, x: 152.0, y: 119.0, coordinate hash:1938056729
1683209337877 class dk.sdu.group.one.rock.Rock, x: 144.0, y: 128.0, coordinate hash:2012846597 has collided with class dk.sdu.group.one.player.Player, x: 152.0, y: 119.0, coordinate hash:1938056729
1683209337877 class dk.sdu.group.one.player.Player, x: 152.0, y: 119.0, coordinate hash:1938056729 has collided with class dk.sdu.group.one.rock.Rock, x: 144.0, y: 112.0, coordinate hash:1665404403
1683209337878 class dk.sdu.group.one.player.Player, x: 152.0, y: 119.0, coordinate hash:1938056729 has collided with class dk.sdu.group.one.rock.Rock, x: 144.0, y: 128.0, coordinate hash:2012846597
1683209337889 class dk.sdu.group.one.rock.Rock, x: 144.0, y: 112.0, coordinate hash:1665404403 has collided with class dk.sdu.group.one.player.Player, x: 152.0, y: 117.0, coordinate hash:1938056729
1683209337890 class dk.sdu.group.one.rock.Rock, x: 144.0, y: 128.0, coordinate hash:2012846597 has collided with class dk.sdu.group.one.player.Player, x: 152.0, y: 117.0, coordinate hash:1938056729
1683209337890 class dk.sdu.group.one.player.Player, x: 152.0, y: 117.0, coordinate hash:1938056729 has collided with class dk.sdu.group.one.rock.Rock, x: 144.0, y: 112.0, coordinate hash:1665404403
1683209337890 class dk.sdu.group.one.player.Player, x: 152.0, y: 117.0, coordinate hash:1938056729 has collided with class dk.sdu.group.one.rock.Rock, x: 144.0, y: 128.0, coordinate hash:2012846597
1683209337897 class dk.sdu.group.one.rock.Rock, x: 144.0, y: 112.0, coordinate hash:1665404403 has collided with class dk.sdu.group.one.player.Player, x: 152.0, y: 115.0, coordinate hash:1938056729
1683209337898 class dk.sdu.group.one.rock.Rock, x: 144.0, y: 128.0, coordinate hash:2012846597 has collided with class dk.sdu.group.one.player.Player, x: 152.0, y: 115.0, coordinate hash:1938056729
1683209337898 class dk.sdu.group.one.player.Player, x: 152.0, y: 115.0, coordinate hash:1938056729 has collided with class dk.sdu.group.one.rock.Rock, x: 144.0, y: 112.0, coordinate hash:1665404403
1683209337898 class dk.sdu.group.one.player.Player, x: 152.0, y: 115.0, coordinate hash:1938056729 has collided with class dk.sdu.group.one.rock.Rock, x: 144.0, y: 128.0, coordinate hash:2012846597
1683209337901 class dk.sdu.group.one.rock.Rock, x: 144.0, y: 112.0, coordinate hash:1665404403 has collided with class dk.sdu.group.one.player.Player, x: 152.0, y: 113.0, coordinate hash:1938056729
1683209337901 class dk.sdu.group.one.rock.Rock, x: 144.0, y: 128.0, coordinate hash:2012846597 has collided with class dk.sdu.group.one.player.Player, x: 152.0, y: 113.0, coordinate hash:1938056729
1683209337901 class dk.sdu.group.one.player.Player, x: 152.0, y: 113.0, coordinate hash:1938056729 has collided with class dk.sdu.group.one.rock.Rock, x: 144.0, y: 112.0, coordinate hash:1665404403
1683209337901 class dk.sdu.group.one.player.Player, x: 152.0, y: 113.0, coordinate hash:1938056729 has collided with class dk.sdu.group.one.rock.Rock, x: 144.0, y: 128.0, coordinate hash:2012846597
1683209337915 class dk.sdu.group.one.rock.Rock, x: 144.0, y: 112.0, coordinate hash:1665404403 has collided with class dk.sdu.group.one.player.Player, x: 153.0, y: 111.0, coordinate hash:1938056729
1683209337915 class dk.sdu.group.one.rock.Rock, x: 160.0, y: 96.0, coordinate hash:988458918 has collided with class dk.sdu.group.one.player.Player, x: 153.0, y: 111.0, coordinate hash:1938056729
1683209337916 class dk.sdu.group.one.player.Player, x: 153.0, y: 111.0, coordinate hash:1938056729 has collided with class dk.sdu.group.one.rock.Rock, x: 144.0, y: 112.0, coordinate hash:1665404403
1683209337916 class dk.sdu.group.one.player.Player, x: 153.0, y: 111.0, coordinate hash:1938056729 has collided with class dk.sdu.group.one.rock.Rock, x: 160.0, y: 96.0, coordinate hash:988458918
1683209337923 class dk.sdu.group.one.rock.Rock, x: 144.0, y: 112.0, coordinate hash:1665404403 has collided with class dk.sdu.group.one.player.Player, x: 155.0, y: 109.0, coordinate hash:1938056729
1683209337924 class dk.sdu.group.one.rock.Rock, x: 160.0, y: 96.0, coordinate hash:988458918 has collided with class dk.sdu.group.one.player.Player, x: 155.0, y: 109.0, coordinate hash:1938056729
1683209337924 class dk.sdu.group.one.player.Player, x: 155.0, y: 109.0, coordinate hash:1938056729 has collided with class dk.sdu.group.one.rock.Rock, x: 144.0, y: 112.0, coordinate hash:1665404403
1683209337924 class dk.sdu.group.one.player.Player, x: 155.0, y: 109.0, coordinate hash:1938056729 has collided with class dk.sdu.group.one.rock.Rock, x: 160.0, y: 96.0, coordinate hash:988458918
1683209337926 class dk.sdu.group.one.rock.Rock, x: 144.0, y: 112.0, coordinate hash:1665404403 has collided with class dk.sdu.group.one.player.Player, x: 157.0, y: 107.0, coordinate hash:1938056729
1683209337927 class dk.sdu.group.one.rock.Rock, x: 160.0, y: 96.0, coordinate hash:988458918 has collided with class dk.sdu.group.one.player.Player, x: 157.0, y: 107.0, coordinate hash:1938056729
1683209337927 class dk.sdu.group.one.player.Player, x: 157.0, y: 107.0, coordinate hash:1938056729 has collided with class dk.sdu.group.one.rock.Rock, x: 144.0, y: 112.0, coordinate hash:1665404403
1683209337927 class dk.sdu.group.one.player.Player, x: 157.0, y: 107.0, coordinate hash:1938056729 has collided with class dk.sdu.group.one.rock.Rock, x: 160.0, y: 96.0, coordinate hash:988458918
1683209337939 class dk.sdu.group.one.rock.Rock, x: 144.0, y: 112.0, coordinate hash:1665404403 has collided with class dk.sdu.group.one.player.Player, x: 159.0, y: 105.0, coordinate hash:1938056729
1683209337939 class dk.sdu.group.one.rock.Rock, x: 160.0, y: 96.0, coordinate hash:988458918 has collided with class dk.sdu.group.one.player.Player, x: 159.0, y: 105.0, coordinate hash:1938056729
1683209337939 class dk.sdu.group.one.player.Player, x: 159.0, y: 105.0, coordinate hash:1938056729 has collided with class dk.sdu.group.one.rock.Rock, x: 144.0, y: 112.0, coordinate hash:1665404403
1683209337939 class dk.sdu.group.one.player.Player, x: 159.0, y: 105.0, coordinate hash:1938056729 has collided with class dk.sdu.group.one.rock.Rock, x: 160.0, y: 96.0, coordinate hash:988458918
1683209337947 class dk.sdu.group.one.rock.Rock, x: 176.0, y: 96.0, coordinate hash:1990451863 has collided with class dk.sdu.group.one.player.Player, x: 161.0, y: 103.0, coordinate hash:1938056729
1683209337949 class dk.sdu.group.one.rock.Rock, x: 160.0, y: 96.0, coordinate hash:988458918 has collided with class dk.sdu.group.one.player.Player, x: 161.0, y: 103.0, coordinate hash:1938056729
1683209337949 class dk.sdu.group.one.player.Player, x: 161.0, y: 103.0, coordinate hash:1938056729 has collided with class dk.sdu.group.one.rock.Rock, x: 176.0, y: 96.0, coordinate hash:1990451863
1683209337949 class dk.sdu.group.one.player.Player, x: 161.0, y: 103.0, coordinate hash:1938056729 has collided with class dk.sdu.group.one.rock.Rock, x: 160.0, y: 96.0, coordinate hash:988458918
1683209337952 class dk.sdu.group.one.rock.Rock, x: 176.0, y: 96.0, coordinate hash:1990451863 has collided with class dk.sdu.group.one.player.Player, x: 163.0, y: 102.0, coordinate hash:1938056729
1683209337953 class dk.sdu.group.one.rock.Rock, x: 160.0, y: 96.0, coordinate hash:988458918 has collided with class dk.sdu.group.one.player.Player, x: 163.0, y: 102.0, coordinate hash:1938056729
1683209337953 class dk.sdu.group.one.player.Player, x: 163.0, y: 102.0, coordinate hash:1938056729 has collided with class dk.sdu.group.one.rock.Rock, x: 176.0, y: 96.0, coordinate hash:1990451863
1683209337953 class dk.sdu.group.one.player.Player, x: 163.0, y: 102.0, coordinate hash:1938056729 has collided with class dk.sdu.group.one.rock.Rock, x: 160.0, y: 96.0, coordinate hash:988458918
1683209337964 class dk.sdu.group.one.rock.Rock, x: 176.0, y: 96.0, coordinate hash:1990451863 has collided with class dk.sdu.group.one.player.Player, x: 165.0, y: 102.0, coordinate hash:1938056729
1683209337964 class dk.sdu.group.one.rock.Rock, x: 160.0, y: 96.0, coordinate hash:988458918 has collided with class dk.sdu.group.one.player.Player, x: 165.0, y: 102.0, coordinate hash:1938056729
1683209337964 class dk.sdu.group.one.player.Player, x: 165.0, y: 102.0, coordinate hash:1938056729 has collided with class dk.sdu.group.one.rock.Rock, x: 176.0, y: 96.0, coordinate hash:1990451863
1683209337964 class dk.sdu.group.one.player.Player, x: 165.0, y: 102.0, coordinate hash:1938056729 has collided with class dk.sdu.group.one.rock.Rock, x: 160.0, y: 96.0, coordinate hash:988458918
1683209337972 class dk.sdu.group.one.rock.Rock, x: 176.0, y: 96.0, coordinate hash:1990451863 has collided with class dk.sdu.group.one.player.Player, x: 167.0, y: 102.0, coordinate hash:1938056729
1683209337972 class dk.sdu.group.one.rock.Rock, x: 160.0, y: 96.0, coordinate hash:988458918 has collided with class dk.sdu.group.one.player.Player, x: 167.0, y: 102.0, coordinate hash:1938056729
1683209337972 class dk.sdu.group.one.player.Player, x: 167.0, y: 102.0, coordinate hash:1938056729 has collided with class dk.sdu.group.one.rock.Rock, x: 176.0, y: 96.0, coordinate hash:1990451863
1683209337972 class dk.sdu.group.one.player.Player, x: 167.0, y: 102.0, coordinate hash:1938056729 has collided with class dk.sdu.group.one.rock.Rock, x: 160.0, y: 96.0, coordinate hash:988458918
1683209337975 class dk.sdu.group.one.rock.Rock, x: 176.0, y: 96.0, coordinate hash:1990451863 has collided with class dk.sdu.group.one.player.Player, x: 169.0, y: 102.0, coordinate hash:1938056729
1683209337975 class dk.sdu.group.one.rock.Rock, x: 160.0, y: 96.0, coordinate hash:988458918 has collided with class dk.sdu.group.one.player.Player, x: 169.0, y: 102.0, coordinate hash:1938056729
1683209337976 class dk.sdu.group.one.player.Player, x: 169.0, y: 102.0, coordinate hash:1938056729 has collided with class dk.sdu.group.one.rock.Rock, x: 176.0, y: 96.0, coordinate hash:1990451863
1683209337976 class dk.sdu.group.one.player.Player, x: 169.0, y: 102.0, coordinate hash:1938056729 has collided with class dk.sdu.group.one.rock.Rock, x: 160.0, y: 96.0, coordinate hash:988458918
1683209337989 class dk.sdu.group.one.rock.Rock, x: 176.0, y: 96.0, coordinate hash:1990451863 has collided with class dk.sdu.group.one.player.Player, x: 171.0, y: 102.0, coordinate hash:1938056729
1683209337990 class dk.sdu.group.one.rock.Rock, x: 160.0, y: 96.0, coordinate hash:988458918 has collided with class dk.sdu.group.one.player.Player, x: 171.0, y: 102.0, coordinate hash:1938056729
1683209337990 class dk.sdu.group.one.player.Player, x: 171.0, y: 102.0, coordinate hash:1938056729 has collided with class dk.sdu.group.one.rock.Rock, x: 176.0, y: 96.0, coordinate hash:1990451863
1683209337990 class dk.sdu.group.one.player.Player, x: 171.0, y: 102.0, coordinate hash:1938056729 has collided with class dk.sdu.group.one.rock.Rock, x: 160.0, y: 96.0, coordinate hash:988458918
1683209337997 class dk.sdu.group.one.rock.Rock, x: 176.0, y: 96.0, coordinate hash:1990451863 has collided with class dk.sdu.group.one.player.Player, x: 173.0, y: 102.0, coordinate hash:1938056729
1683209337998 class dk.sdu.group.one.rock.Rock, x: 160.0, y: 96.0, coordinate hash:988458918 has collided with class dk.sdu.group.one.player.Player, x: 173.0, y: 102.0, coordinate hash:1938056729
1683209337998 class dk.sdu.group.one.player.Player, x: 173.0, y: 102.0, coordinate hash:1938056729 has collided with class dk.sdu.group.one.rock.Rock, x: 176.0, y: 96.0, coordinate hash:1990451863
1683209337998 class dk.sdu.group.one.player.Player, x: 173.0, y: 102.0, coordinate hash:1938056729 has collided with class dk.sdu.group.one.rock.Rock, x: 160.0, y: 96.0, coordinate hash:988458918
1683209338000 class dk.sdu.group.one.rock.Rock, x: 176.0, y: 96.0, coordinate hash:1990451863 has collided with class dk.sdu.group.one.player.Player, x: 175.0, y: 102.0, coordinate hash:1938056729
1683209338001 class dk.sdu.group.one.rock.Rock, x: 160.0, y: 96.0, coordinate hash:988458918 has collided with class dk.sdu.group.one.player.Player, x: 175.0, y: 102.0, coordinate hash:1938056729
1683209338001 class dk.sdu.group.one.player.Player, x: 175.0, y: 102.0, coordinate hash:1938056729 has collided with class dk.sdu.group.one.rock.Rock, x: 176.0, y: 96.0, coordinate hash:1990451863
1683209338001 class dk.sdu.group.one.player.Player, x: 175.0, y: 102.0, coordinate hash:1938056729 has collided with class dk.sdu.group.one.rock.Rock, x: 160.0, y: 96.0, coordinate hash:988458918
1683209338014 class dk.sdu.group.one.rock.Rock, x: 176.0, y: 96.0, coordinate hash:1990451863 has collided with class dk.sdu.group.one.player.Player, x: 177.0, y: 102.0, coordinate hash:1938056729
1683209338015 class dk.sdu.group.one.rock.Rock, x: 192.0, y: 112.0, coordinate hash:1295083508 has collided with class dk.sdu.group.one.player.Player, x: 177.0, y: 102.0, coordinate hash:1938056729
1683209338016 class dk.sdu.group.one.player.Player, x: 177.0, y: 102.0, coordinate hash:1938056729 has collided with class dk.sdu.group.one.rock.Rock, x: 176.0, y: 96.0, coordinate hash:1990451863
1683209338016 class dk.sdu.group.one.player.Player, x: 177.0, y: 102.0, coordinate hash:1938056729 has collided with class dk.sdu.group.one.rock.Rock, x: 192.0, y: 112.0, coordinate hash:1295083508
1683209338022 class dk.sdu.group.one.rock.Rock, x: 176.0, y: 96.0, coordinate hash:1990451863 has collided with class dk.sdu.group.one.player.Player, x: 179.0, y: 102.0, coordinate hash:1938056729
1683209338023 class dk.sdu.group.one.rock.Rock, x: 192.0, y: 112.0, coordinate hash:1295083508 has collided with class dk.sdu.group.one.player.Player, x: 179.0, y: 102.0, coordinate hash:1938056729
1683209338023 class dk.sdu.group.one.player.Player, x: 179.0, y: 102.0, coordinate hash:1938056729 has collided with class dk.sdu.group.one.rock.Rock, x: 176.0, y: 96.0, coordinate hash:1990451863
1683209338023 class dk.sdu.group.one.player.Player, x: 179.0, y: 102.0, coordinate hash:1938056729 has collided with class dk.sdu.group.one.rock.Rock, x: 192.0, y: 112.0, coordinate hash:1295083508
1683209338025 class dk.sdu.group.one.rock.Rock, x: 176.0, y: 96.0, coordinate hash:1990451863 has collided with class dk.sdu.group.one.player.Player, x: 181.0, y: 102.0, coordinate hash:1938056729
1683209338025 class dk.sdu.group.one.rock.Rock, x: 192.0, y: 112.0, coordinate hash:1295083508 has collided with class dk.sdu.group.one.player.Player, x: 181.0, y: 102.0, coordinate hash:1938056729
1683209338026 class dk.sdu.group.one.player.Player, x: 181.0, y: 102.0, coordinate hash:1938056729 has collided with class dk.sdu.group.one.rock.Rock, x: 176.0, y: 96.0, coordinate hash:1990451863
1683209338026 class dk.sdu.group.one.player.Player, x: 181.0, y: 102.0, coordinate hash:1938056729 has collided with class dk.sdu.group.one.rock.Rock, x: 192.0, y: 112.0, coordinate hash:1295083508
1683209338039 class dk.sdu.group.one.rock.Rock, x: 176.0, y: 96.0, coordinate hash:1990451863 has collided with class dk.sdu.group.one.player.Player, x: 183.0, y: 102.0, coordinate hash:1938056729
